group,subgroup,codepoints,status,emoji,name
People & Body,person-sport,1F93E 1F3FB 200D 2640 FE0F,fully-qualified,🤾🏻‍♀️,E4.0 woman playing handball: light skin tone
People & Body,person-sport,1F93E 1F3FB 200D 2640,minimally-qualified,🤾🏻‍♀,E4.0 woman playing handball: light skin tone
People & Body,person-sport,1F93E 1F3FC 200D 2640 FE0F,fully-qualified,🤾🏼‍♀️,E4.0 woman playing handball: medium-light skin tone
People & Body,person-sport,1F93E 1F3FC 200D 2640,minimally-qualified,🤾🏼‍♀,E4.0 woman playing handball: medium-light skin tone
People & Body,person-sport,1F93E 1F3FD 200D 2640 FE0F,fully-qualified,🤾🏽‍♀️,E4.0 woman playing handball: medium skin tone
People & Body,person-sport,1F93E 1F3FD 200D 2640,minimally-qualified,🤾🏽‍♀,E4.0 woman playing handball: medium skin tone
People & Body,person-sport,1F93E 1F3FE 200D 2640 FE0F,fully-qualified,🤾🏾‍♀️,E4.0 woman playing handball: medium-dark skin tone
People & Body,person-sport,1F93E 1F3FE 200D 2640,minimally-qualified,🤾🏾‍♀,E4.0 woman playing handball: medium-dark skin tone
People & Body,person-sport,1F93E 1F3FF 200D 2640 FE0F,fully-qualified,🤾🏿‍♀️,E4.0 woman playing handball: dark skin tone
People & Body,person-sport,1F93E 1F3FF 200D 2640,minimally-qualified,🤾🏿‍♀,E4.0 woman playing handball: dark skin tone
People & Body,person-sport,1F939,fully-qualified,🤹,E3.0 person juggling
People & Body,person-sport,1F939 1F3FB,fully-qualified,🤹🏻,E3.0 person juggling: light skin tone
People & Body,person-sport,1F939 1F3FC,fully-qualified,🤹🏼,E3.0 person juggling: medium-light skin tone
People & Body,person-sport,1F939 1F3FD,fully-qualified,🤹🏽,E3.0 person juggling: medium skin tone
People & Body,person-sport,1F939 1F3FE,fully-qualified,🤹🏾,E3.0 person juggling: medium-dark skin tone
People & Body,person-sport,1F939 1F3FF,fully-qualified,🤹🏿,E3.0 person juggling: dark skin tone
People & Body,person-sport,1F939 200D 2642 FE0F,fully-qualified,🤹‍♂️,E4.0 man juggling
People & Body,person-sport,1F939 200D 2642,minimally-qualified,🤹‍♂,E4.0 man juggling
People & Body,person-sport,1F939 1F3FB 200D 2642 FE0F,fully-qualified,🤹🏻‍♂️,E4.0 man juggling: light skin tone
People & Body,person-sport,1F939 1F3FB 200D 2642,minimally-qualified,🤹🏻‍♂,E4.0 man juggling: light skin tone
People & Body,person-sport,1F939 1F3FC 200D 2642 FE0F,fully-qualified,🤹🏼‍♂️,E4.0 man juggling: medium-light skin tone
People & Body,person-sport,1F939 1F3FC 200D 2642,minimally-qualified,🤹🏼‍♂,E4.0 man juggling: medium-light skin tone
People & Body,person-sport,1F939 1F3FD 200D 2642 FE0F,fully-qualified,🤹🏽‍♂️,E4.0 man juggling: medium skin tone
People & Body,person-sport,1F939 1F3FD 200D 2642,minimally-qualified,🤹🏽‍♂,E4.0 man juggling: medium skin tone
